               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.070132,             0.37617,           0.0078373,             0.88908,             0.31349,             0.38538,              0.1324,            0.065515,             0.23105,            0.010104,           0.0029151,           0.0029151,            0.069715
                  37,            0.069411,             0.41147,            0.007966,             0.28196,             0.68032,             0.43492,             0.14976,             0.06358,             0.26002,            0.010073,           0.0029719,           0.0029719,            0.068872
                  38,            0.069487,             0.37135,           0.0077985,             0.91759,              0.2815,             0.35654,             0.12471,            0.071557,             0.20834,           0.0091931,            0.003027,            0.003027,            0.068027
                  39,            0.067345,               0.367,            0.007129,             0.24647,             0.56085,             0.25566,            0.070418,            0.068192,             0.22665,            0.010349,           0.0030804,           0.0030804,             0.06718
                  40,            0.069732,             0.38364,           0.0073933,             0.40889,              0.5045,             0.38579,             0.10744,            0.057907,             0.21574,           0.0082359,           0.0031321,           0.0031321,            0.066332
                  41,            0.069825,              0.3683,           0.0062776,             0.29125,             0.37705,             0.23218,             0.06172,            0.072166,             0.21236,           0.0082885,            0.003182,            0.003182,            0.065482
                  42,            0.068604,             0.36541,           0.0064507,             0.52286,             0.29723,             0.29839,            0.089614,            0.063065,             0.22149,             0.01154,           0.0032302,           0.0032302,             0.06463
                  43,            0.067894,             0.38371,           0.0062048,             0.31534,             0.53767,             0.40004,             0.13352,            0.062458,             0.23815,            0.008467,           0.0032766,           0.0032766,            0.063777
                  44,            0.065754,             0.35479,           0.0063096,             0.52739,             0.52093,             0.55083,             0.18054,            0.051849,             0.24111,           0.0075969,           0.0033212,           0.0033212,            0.062921
                  45,             0.06516,             0.38435,           0.0063274,             0.40558,             0.49714,             0.43504,             0.14643,            0.058121,             0.25114,           0.0075072,           0.0033639,           0.0033639,            0.062064
                  46,            0.065305,             0.34802,            0.006138,             0.49537,             0.50968,             0.44717,             0.15009,            0.061177,             0.21215,           0.0073172,           0.0034048,           0.0034048,            0.061205
                  47,            0.066515,             0.38323,           0.0058603,             0.44484,              0.6025,             0.47181,             0.14602,            0.055035,              0.2211,               0.007,           0.0034438,           0.0034438,            0.060344
                  48,            0.063713,             0.37298,           0.0055744,             0.69553,             0.47349,             0.54883,              0.1826,            0.056971,             0.22014,           0.0067007,           0.0034809,           0.0034809,            0.059481
                  49,            0.066812,             0.36911,           0.0057916,             0.51387,             0.35752,             0.38522,             0.11709,            0.064671,             0.21928,           0.0079742,           0.0035162,           0.0035162,            0.058616
                  50,            0.066099,             0.38822,           0.0055039,             0.60718,             0.50952,              0.5466,             0.19803,            0.051202,             0.23035,           0.0069094,           0.0035495,           0.0035495,             0.05775
                  51,            0.064144,             0.36991,           0.0050816,             0.37295,             0.56035,             0.39068,             0.10698,            0.058594,             0.21976,           0.0066606,           0.0035809,           0.0035809,            0.056881
                  52,            0.064696,             0.40847,           0.0054726,             0.40274,              0.6846,              0.5308,              0.2026,            0.050432,             0.34197,           0.0072111,           0.0036104,           0.0036104,             0.05601
                  53,            0.061367,             0.36748,           0.0054611,             0.39218,              0.6054,             0.44771,             0.12076,            0.057306,             0.22572,           0.0063204,           0.0036379,           0.0036379,            0.055138
                  54,            0.063181,             0.35342,           0.0047881,             0.68059,             0.59683,             0.63407,             0.25733,            0.050061,             0.22448,           0.0060413,           0.0036635,           0.0036635,            0.054264
                  55,            0.061171,             0.36717,            0.004759,             0.27879,             0.54889,             0.30595,            0.092126,             0.07422,             0.21238,           0.0062506,           0.0036871,           0.0036871,            0.053387
                  56,            0.071126,             0.39037,           0.0049539,             0.80511,              0.3479,               0.412,             0.15227,            0.058494,             0.38761,            0.013268,           0.0037088,           0.0037088,            0.052509
                  57,            0.068074,              0.3913,           0.0047943,             0.34229,             0.52508,             0.36553,              0.1024,            0.056888,             0.23484,           0.0085834,           0.0037286,           0.0037286,            0.051629
                  58,            0.069712,             0.43082,           0.0046872,             0.45078,             0.46952,             0.41035,             0.13388,            0.071643,              0.2213,           0.0070719,           0.0037463,           0.0037463,            0.050746
                  59,            0.069401,              0.4343,           0.0048194,             0.49973,             0.44556,              0.4392,             0.11532,            0.058937,             0.21493,           0.0054415,           0.0037622,           0.0037622,            0.049862
                  60,            0.066438,              0.4053,           0.0049725,             0.44436,             0.55746,             0.46605,              0.1686,             0.05814,              0.2111,           0.0062424,            0.003776,            0.003776,            0.048976
                  61,            0.064308,             0.37326,           0.0060971,             0.37424,             0.71828,             0.52885,             0.19695,              0.0593,             0.21238,            0.006206,            0.003788,            0.003788,            0.048088
                  62,            0.068466,             0.35352,           0.0054699,             0.45584,             0.48906,              0.4295,             0.16647,            0.059193,             0.24949,            0.008552,           0.0037979,           0.0037979,            0.047198
                  63,            0.065333,             0.37726,           0.0040142,             0.54525,             0.52905,             0.56089,             0.22418,            0.054216,             0.26205,           0.0065693,            0.003806,            0.003806,            0.046306
                  64,            0.065939,             0.35926,           0.0045333,             0.45077,             0.56524,             0.50274,             0.16981,            0.057598,             0.24739,           0.0053082,           0.0038121,           0.0038121,            0.045412
                  65,            0.065398,             0.35775,           0.0045516,             0.54231,             0.53247,              0.5734,             0.22164,            0.059004,             0.21438,           0.0049512,           0.0038163,           0.0038163,            0.044516
                  66,            0.064211,             0.36056,           0.0047545,             0.69236,             0.52143,             0.59979,             0.24627,            0.051157,             0.25904,           0.0055756,           0.0038186,           0.0038186,            0.043619
                  67,            0.063121,             0.38803,           0.0041458,             0.57157,             0.74578,             0.64246,             0.23565,            0.048961,             0.21149,           0.0052112,            0.003819,            0.003819,            0.042719
                  68,            0.060466,             0.37089,           0.0038315,             0.49582,             0.59282,             0.54392,              0.1993,            0.060391,             0.21199,           0.0042527,           0.0038176,           0.0038176,            0.041818
                  69,            0.062986,             0.35758,           0.0038989,             0.61325,              0.6242,             0.63378,             0.22665,             0.05223,             0.20635,           0.0047221,           0.0038143,           0.0038143,            0.040914
                  70,             0.05702,              0.3709,           0.0033166,             0.40802,             0.62482,             0.41514,             0.10289,            0.063274,             0.22305,           0.0047273,           0.0038091,           0.0038091,            0.040009
                  71,            0.063437,             0.37815,           0.0035395,             0.53007,             0.71523,              0.6519,             0.25104,            0.050487,             0.22821,           0.0043653,           0.0038021,           0.0038021,            0.039102
                  72,            0.060062,             0.37166,           0.0031816,             0.51983,             0.72757,             0.61558,              0.2178,            0.055026,             0.21111,           0.0042105,           0.0037934,           0.0037934,            0.038193
                  73,            0.066869,             0.34434,           0.0036915,             0.84592,             0.57194,             0.68967,             0.27462,            0.048768,             0.21403,           0.0042824,           0.0037828,           0.0037828,            0.037283
